name,reading,meaning
怪談,かいだん,１ 化け物・幽霊などの出てくる気味の悪い話。２ 真相がさだかでなく、納得のいかない出来事。３ 小泉八雲の短編小説集。古典文学や民間伝承に取材した「耳なし芳一(ほういち)の話」「雪女」「むじな」など17編の怪談と、虫に関する3本の短編を収録する。1904年刊行。
階段,かいだん,１ 建物の上下の階など、高さの異なる場所をつなぐ、段々のある通路。はしごだん。２ 順序に従って進む等級。段階。
改築,かいちく,建造物の全部または一部を新しくつくりなおすこと。
快調,かいちょう,すばらしく物事の調子がよいこと。思うように事が運ぶこと。また、そのさま。
階調,かいちょう,写真、テレビ、デジタルカメラ、コンピューターの画像などにおける濃淡の変化の度合い。
開陳,かいちん,人の前で自分の心の中をありのままに述べること。
開通,かいつう,鉄道・道路・電話など、交通・通信の機関や施設が完成して通じること。
改定,かいてい,法律・制度など以前のものを改めて新しく定めること。
改訂,かいてい,１ 書物の内容を改め正すこと。２ 法律や取り決めなどの一部を改めて正当な形に正すこと。改正。改定。
快適,かいてき,心身に不快に感じられるところがなく気持ちがいいこと。ぐあいがよくてこころよいこと。また、そのさま。
回転,かいてん,１ 物が、ある軸を中心としてまわること。２ からだを転がしたり、宙がえりしたりすること。３ 機能を十分生かした働きをすること。存分に活動すること。４ 物事が、動きをくり返すこと。５ サービス業などで、客が新しい客と入れ替わること。６ スキー競技のアルペン種目の一。標高差200メートル前後、長さ500メートル前後の急斜面につくられた50～80の旗門を通過しながら滑り降り、その所要時間を競う。スラローム。
開店,かいてん,１ 新しく店を開いて営業を始めること。開業。みせびらき。２ 店を開けてその日の営業を始めること。
皆伝,かいでん,芸能・武術などの道で、師からその流派の奥義をすべて教えられること。奥許し。
解凍,かいとう,１ 凍結しているものが解けること。また、解かすこと。２ コンピューターで、圧縮して容量を小さくしたファイルを元の形式に戻すこと。展開。伸張。デコンプレッション。３ 陰暦正月の異称。
解答,かいとう,問題を解いて答えを出すこと。また、その答え。
回答,かいとう,質問・要求などに答えること。また、その答え。
快刀,かいとう,気持ちよく切れる刀。切れ味のすばらしい刀。
怪盗,かいとう,変幻自在に出没して、正体のつかめない盗賊。
街道,かいどう,１ 交通上、重要な道路。日光街道・甲州街道など。 ２ 人の歩む道。
解読,かいどく,１ 普通には読めない文字・暗号・文章などを読み解くこと。２ 一定の規則によって符号化されたものから元の情報に戻すこと。情報伝達の最後の過程。
介入,かいにゅう,当事者以外の者が入り込むこと。争いやもめごとなどの間に入って干渉すること。
解任,かいにん,任務を解くこと。職務をやめさせること。免職と違って、本質的な身分には異動のないことが多い。解職。
懐妊,かいにん,胎内に子を宿すこと。身ごもること。妊娠。懐胎。
開発,かいはつ,１ 森林や荒れ地などを切り開いて人間の生活に役立つようにすること。２ 天然資源を活用して産業を興すこと。３ 潜在している才能などを引き出し伸ばすこと。 ４ 新しいものを考え出し、実用化すること。
海抜,かいばつ,海水面から測った陸地の高さ。干潮時と満潮時の年間平均を基準とする。標高。
改版,かいはん,１ 印刷物の原版を新しく作りなおすこと。２ 書物などの内容を訂正し、印刷・発行しなおすこと。また、その出版物。
回避,かいひ,１ 物事を避けてぶつからないようにすること。また、不都合な事態にならないようにすること。２ 訴訟事件で、裁判官または裁判所書記官が、自己に除斥または忌避される原因のあることに気づいて、その事件の取り扱いを避けること。
解氷,かいひょう,春になって、湖・池・海などの氷が解けること。また、解けた氷。《季春》⇔結氷。
開封,かいふう,１ 郵便物などの封を切ること。２ 封の上端を切り取り、中が見えるようにした郵便物。第三種・第四種郵便物に行う。ひらきふう。
快復,かいふく,病気がなおること。
怪物,かいぶつ,１ 正体のわからない、不気味な生き物。２ 性質・行動・力量などが人並外れた人物。
開閉,かいへい,あいたり、しまったりすること。また、あけたり、しめたりすること。あけたて。
海壁,かいへき,波浪から守るために、水際に設けた壁や石垣。
改変,かいへん,内容を変えて、違ったものにすること。変改。
改編,かいへん,１ 一度編成したものを組み立て直すこと。２ 書物などを、方針を変えて編集し直すこと。
介抱,かいほう,１ 病人・けが人・酔っぱらいなどの世話をすること。看護。２ 助けてめんどうをみること。保護。後見。
解放,かいほう,束縛(そくばく)されたり、制限されたりしているものを、ときはなして自由にすること。
解法,かいほう,数学で、問題を解く手順。
快方,かいほう,病気や傷がだんだん治ってくること。
解剖,かいぼう,１ 生物体を切り開いて、内部の構造、あるいは病変・死因なども観察すること。腑分(ふわ)け。解体。２ 物事を細かく分析し、その因果関係などを明確にすること。
開幕,かいまく,１ 舞台の幕が開いて、芝居などが始まること。また、始めること。２ 時期がきて、ある物事が始まること。
快眠,かいみん,気持ちよく眠ること。また、心地よい眠り。
皆無,かいむ,１ 全く存在しないこと。全然ないこと。また、そのさま。２ 残らず。ことごとく。３ （下に打消しの語を伴って）全く。さっぱり。
解明,かいめい,不明な点を探って、はっきりさせること。
改名,かいめい,名前を変えること。また、変えた名前。かいみょう。
壊滅,かいめつ,すっかりだめになってしまうこと。組織などが総崩れになること。
皆目,かいもく,１ あとに打消しの語を伴って、強く否定する気持ちを表す。まるっきり。全然。２ まるまる全部、すっかりの意を表す。あとに否定的な意味・内容のくることが多い。
解約,かいやく,１ 契約を取り消すこと。２ 賃貸借や雇用などの継続的な契約を、当事者の一方の意思表示により、将来に向かって消滅させること。
快癒,かいゆ,病気や傷がすっかり治ること。全快。本復。
海洋,かいよう,１ 広くて大きい海。大洋。２ 大洋と、その付属海。
傀儡,かいらい,１ あやつり人形。くぐつ。でく。２ 自分の意志や主義を表さず、他人の言いなりに動いて利用されている者。でくの坊。
回覧,かいらん,１ 図書・文書などを、順送りに回して読むこと。２ あちこちを見て回ること。巡覧。
海里,かいり,海面上および航海上の距離の単位。1海里は、もと子午線の緯度1分に相当する距離で、1852メートル。浬(り)。
乖離,かいり,そむきはなれること。結びつきがはなれること。
怪力,かいりき,並外れて強い力。不思議な力、または、働き。
改良,かいりょう,不備な点や悪い点を改めて、よくすること。改善。
回路,かいろ,１ 電気の流れる、輪のように閉じている道筋。電気回路。２ 流体やエネルギーなどの流れる一まわりの通路。３ 生体の代謝経路で、循環を示す部分。トリカルボン酸回路など。
回廊,かいろう,１ 建物・部屋・中庭の周囲に巡らされた、長くて屈折した歩廊。２ 国の領土が、内陸部で細長く突出した部分。半島や島国の突出した形についてはいわない。第一次大戦後のポーランド回廊や、現在のアフガニスタンのワハン回廊など。回廊地帯。
会話,かいわ,１ 二人または数人が、互いに話したり聞いたりして、共通の話を進めること。また、その話。 ２ 特に、外国語で話し合うこと。
界隈,かいわい,そのあたり一帯。付近。近辺。
顔色,かおいろ,１ 顔の表面の色。血色。２ 感情の動きの表れた顔のようす。顔つき。機嫌。
家屋,かおく,１ 人が住む建物。いえ。２ 地方税法上は、住家・店舗・工場・倉庫その他の建物をいう。
顔役,かおやく,１ その土地や仲間の間で大きな勢力をもっていたり、名望のある人。実力者。ボス。 ２ 博徒の親分・幹部など。
価格,かかく,商品の価値を貨幣で表したもの。値段。
化学,かがく,１ 自然科学の一分野。物質を構成している原子や分子に注目し、物質の成分組成・構造、その生成と分解の反応および他物質との間に起こす反応を研究する。研究の対象または目的によって、無機化学・有機化学・生物化学・物理化学・分析化学・地球化学・応用化学などに分けられる。２ 学校教育の教科の一。理科の一分野。
科学,かがく,１ 学問的知識。学。個別の専門分野から成る学問の総称。「分科の学」ないしは「百科の学術」に由来する。２ 自然や社会など世界の特定領域に関する法則的認識を目指す合理的知識の体系または探究の営み。実験や観察に基づく経験的実証性と論理的推論に基づく体系的整合性をその特徴とする。研究の対象と方法の違いに応じて自然科学・社会科学・人文科学などに分類される。狭義には自然科学を指す。
果敢,かかん,決断力に富み、物事を思いきってするさま。
下記,かき,ある記事や文章のあとに書きしるすこと。また、その文章。
火器,かき,１ 火を入れる器具。火入れ。２ 大砲・銃など、火薬を使って弾丸を発射する兵器の総称。銃砲。
火気,かき,１ 火のけ。また、火。２ 火の勢い。
苛虐,かぎゃく,人を手ひどく扱って、いじめ苦しめること。また、そのさま。
火急,かきゅう,火のついたように、さし迫った状態にあること。また、そのさま。緊急。
佳境,かきょう,１ 興味を感じさせる場面。２ 景色のよい所。
架橋,かきょう,１ 橋を架けること。また、その橋。２ 鎖状高分子の分子間に橋を架けたような結合をつくること。代表的な架橋としてゴムの加硫が知られる。この分子間結合を架橋結合、架橋によってできる高分子を架橋高分子、このような高分子の構造を架橋構造という。橋かけ。
稼業,かぎょう,生計を維持するための職業。生業。
課金,かきん,支払を課すること。料金、費用を引き受けさせること。
家具,かぐ,家に備えつけ、日常使用する道具類。たんす・机・いすなど。
各位,かくい,大ぜいの人を対象にして、その一人一人を敬って言う語。皆様。皆様方。多く、改まった席上や書面で用いる。
画一,かくいつ,個々の事情や個性を考慮に入れないで、すべてを一様にそろえること。
架空,かくう,１ 空中に架け渡すこと。２ 根拠のないこと。また、事実に基づかず、想像によってつくりあげること。また、そのさま。
各界,かくかい,職業や専門分野によって分けた、それぞれの世界。
格言,かくげん,人生の真実や機微を述べ、万人への戒め・教訓となるような簡潔にした言葉。金言。
覚悟,かくご,１ 危険なこと、不利なこと、困難なことを予想して、それを受けとめる心構えをすること。２ 仏語。迷いを脱し、真理を悟ること。３ きたるべきつらい事態を避けられないものとして、あきらめること。観念すること。４ 覚えること。記憶すること。５ 知ること。存知。
格差,かくさ,資格・等級・価格などの違い。差。
画策,かくさく,はかりごとをめぐらすこと。ひそかに計画を立てること。また、その計画。
拡散,かくさん,１ 広がり、散らばること。２ 混合流体が高い濃度から低い濃度の所へと移動して、一様な濃度になる現象。分子の熱運動によって起こる。３ ツイッターやフェースブックなどのソーシャルメディアにおいて、投稿されたメッセージを多くの人に引用してもらうこと。メッセージの引用は個々人によって行われるが、しばしばねずみ算式に引用数が増え、多くの人の元にメッセージが届くことがある。
格式,かくしき,身分・家柄などによって定まっている礼儀や作法。また、身分や家柄。
確執,かくしつ,互いに自分の意見を強く主張して譲らないこと。また、そのために生じる不和。かくしゅう。
確実,かくじつ,たしかで、まちがいのないこと。また、そのさま。
各種,かくしゅ,いろいろの種類。さまざま。諸種。
隔週,かくしゅう,1週間おき。
拡充,かくじゅう,組織や施設を広げて、充実させること。
各所,かくしょ,あちこち。ここかしこ。
確証,かくしょう,たしかな証拠。まちがいのない証拠。
核心,かくしん,物事の中心となる大切なところ。中核。
確信,かくしん,固く信じて疑わないこと。また、固い信念。
革新,かくしん,旧来の制度・組織・方法・習慣などを改めて新しくすること。
各人,かくじん,ひとりびとり。めいめいの人。各自。
覚醒,かくせい,１ 目をさますこと。目がさめること。醒覚。 ２ 過ちや迷いに気づくこと。醒覚。 ３ 中枢神経系の興奮が増大し注意が喚起された意識の状態。
隔世,かくせい,１ 時代がへだたること。時代が異なること。２ 途中の世代を、一代あるいは数代とびこすこと。
隔絶,かくぜつ,かけ離れていること。遠くへだたっていること。
拡大,かくだい,広げて大きくすること。また、広がって大きくなること。郭大。
格段,かくだん,１ 物事の程度の差がはなはだしいこと。また、そのさま。２ 物事の程度が普通をはなはだしく超えていること。また、そのさま。
各地,かくち,いろいろな土地。それぞれの地方。
拡張,かくちょう,範囲や勢力・規模などを広げて大きくすること。
格調,かくちょう,詩歌・文章・演説などの構成や表現から生じる全体の品格。
確定,かくてい,はっきりと定まること。また、定めること。
確度,かくど,確かさの度合い。確実さ。
格闘,かくとう,１ 組み合ってたたかうこと。とっくみあい。くみうち。２ 困難な物事に一生懸命に取り組むこと。
確答,かくとう,はっきりと答えること。また、たしかな返事。
獲得,かくとく,手に入れること。努力して自分のものにすること。
確認,かくにん,１ はっきり認めること。また、そうであることをはっきりたしかめること。２ 特定の事実や法律関係の存否について争いや疑いのあるとき、これを判断・認定する行為。当選者の決定など。３ 星新一のショートショート作品。かぼちゃの馬車に収録。
格納,かくのう,物を一定の場所に納め入れること。
拡販,かくはん,販売数を拡大すること。
攪拌,かくはん,かき回すこと。かきまぜること。
拡幅,かくふく,道路の幅を広くすること。
隔壁,かくへき,１ 二つの物を隔てる壁。仕切り。２ 船舶で、浸水あるいは積み荷の石油などの漏出を一部にとどめるため、船内を仕切る壁。３ 飛行機で、特に客室後部にあって与圧室を区切る半球状の耐圧壁。
格別,かくべつ,１ 普通の場合とは程度・事柄が違っていること。また、そのさま。格段の違いがあるさま。特別。２ それぞれ別であること。また、それぞれ別に行うこと。３ 程度のはなはだしいさま。また、特に他と区別されるさま。特別。とりたてて。４ 普通とは違う、別の扱いがなされるさま。別として。ともかくとして。
確保,かくほ,１ 確実に手に入れること。失わないように、しっかりと保つこと。２ 登山者がロープを使って自分や仲間の転落や滑落を防止すること。ビレー。ジッヘル。
革命,かくめい,１ 被支配階級が時の支配階級を倒して政治権力を握り、政治・経済・社会体制を根本的に変革すること。フランス革命・ロシア革命など。２ 物事が急激に発展・変革すること。３ 古代中国で、天命が改まり、王朝の変わること。４ 陰陽道(おんようどう)で、辛酉(しんゆう)の年のこと。争乱が多いとされて、改元などが行われた。
確約,かくやく,はっきりと約束すること。また、その約束。
格安,かくやす,値段が普通より特に安いこと。品質に比べて値段の安いこと。また、そのさま。
攪乱,かくらん,かき乱すこと。混乱が起きるようにすること。
隔離,かくり,１ へだたること。へだて離すこと。２ 伝染性の病原体の蔓延(まんえん)を防ぐためなど、他から引き離して接触を避けること。３ 交配の可能な生物集団が、地理的あるいは生理的・遺伝的な条件の違いによって交配ができず、また交配しても次世代ができにくくなり、遺伝子の交流が妨げられる現象。
確率,かくりつ,ある事象の起こる可能性の度合い。公算。蓋然率(がいぜんりつ)。
各論,かくろん,全体をいくつかの項目・部門に分け、その一つ一つについての意見・論議。
家訓,かくん,守るべきものとしてその家に伝わる戒めや教え。家憲。かきん。
家計,かけい,家族が暮らしていくうえでの、収入と支出の状態。家族が暮らしていくための費用。一家の生計。
影絵,かげえ,１ 手・切り抜き絵・人形などを、灯火によって壁や障子などに映し出して見せる芸。また、その絵。影法師。２ 影人形のこと。３ 星新一のショートショート作品。どんぐり民話館に収録。
過激,かげき,１ 度を越して激しいこと。また、そのさま。２ 考え方ややり方が世間の常識からひどくかけ離れていること。また、そのさま。
陰口,かげぐち,その人のいない所で、悪口を言うこと。また、その悪口。かげごと。
可決,かけつ,会議で、提出議案の承認を決定すること。
陽炎,かげろう,１ 春の天気のよい穏やかな日に、地面から炎のような揺らめきが立ちのぼる現象。強い日射で地面が熱せられて不規則な上昇気流を生じ、密度の異なる空気が入りまじるため、通過する光が不規則に屈折して起こる。かぎろい。糸遊(いとゆう)。２ 夜明け方の光。
過去,かこ,１ 現在より以前の時。過ぎ去った時。昔。２ 好ましくない経歴・前歴。３ 仏語。三世(さんぜ)の一。この世に生まれる前の世。前世。過去世。４ 文法で、ある時点（一般には現在）よりも以前の動作・状態を表す言い方。動詞の連用形に、文語では助動詞「き」「けり」、口語では助動詞「た」などを付けて言い表す。なお、英語などでは動詞の時制の一とする。
加護,かご,神仏がその力によって衆生を守り助けること。
過誤,かご,あやまち。やり損じ。過失。
下降,かこう,下へ向かって移動、または、変化すること。
加工,かこう,１ 原料や素材に手を加えて新しい物を作ること。細工をすること。２ 法律で、他人の動産に工作を加えて、新たな加工物を作ること。加工物の所有権は原則として材料の所有者に属する。
苛酷,かこく,きわめてむごいさま。扱い方などが厳しくて容赦ないさま。無慈悲。
過酷,かこく,厳しすぎるさま。ひどすぎるさま。
禍根,かこん,わざわいの起こるもとや原因。
過言,かごん,１ 言いまちがい。失言。２ 言い過ぎ。かごん。
風穴,かざあな,１ 風が吹き通る穴やすきま。障子の破れ穴など。２ 通風・換気のために壁や窓にあけた穴。かざぬき。３ 山腹などにある大きな奥深い穴。夏、冷風が吹き出る。ふうけつ。
火災,かさい,火による災難。火事。
佳作,かさく,１ 文学作品・芸術作品などで、出来栄えのいい作品。２ 絵画・文芸作品のコンクールなどで、入賞した作品に次ぐ優れた作品。
風見,かざみ,家の屋根などにつけて、風の吹く方向を知る道具。古くは先端に鳥獣の形や紋所などをつけた。
下視,かし,見おろすこと。また、見くだすこと。
下賜,かし,高貴の人が、身分の低い人に物を与えること。
仮死,かし,死んだように見えるが、実際には生きている状態。
瑕疵,かし,１ きず。欠点。また、過失。２ 法律上、なんらかの欠点や欠陥のあること。
家事,かじ,１ 家庭内の事情や事柄。２ 掃除・洗濯・食事の支度・育児など、家庭生活に欠かせない仕事。
火事,かじ,建築物や山林などが焼けること。火災。
鍛冶,かじ,鉄などの金属を熱して打ち鍛え、種々の器物をつく...
彼処,かしこ,１ 話し手・聞き手の両方から離れた場所をさす。あそこ。２ 話の中にあげられた場所をさす。そこ。
過失,かしつ,不注意などによって生じたしくじり。過ち。
呵責,かしゃく,厳しくとがめてしかること。責めさいなむこと。かせき。
果汁,かじゅう,果物をしぼって得られる汁。
荷重,かじゅう,１ 貨物自動車などの荷の重さ。２ 機械や構造物の全体または部分に加わる力。また、構造物が耐えうる重さ。ロード。
箇所,かしょ,１ 問題になっているその場所。１ 助数詞。数を表す漢語に付いて、特定の部分や場所の数を表す。
仮称,かしょう,正式な呼び名がない場合に、仮に名づけておくこと。また、その仮の名。
過小,かしょう,小さすぎるさま。小さすぎて実際と合わないさま。
過剰,かじょう,必要な程度や数量を越えて多いこと。ありあまること。また、そのさま。
華飾,かしょく,１ 華やかに飾ること。また、分を越えて飾ること。２ 尊大であること。不遜(ふそん)なこと。
