name,reading,meaning
野暮,やぼ,１ 人情の機微に通じないこと。わからず屋で融通のきかないこと。また、その人やさま。無粋(ぶすい)。２ 言動や趣味などが、洗練されていないこと。無風流なこと。また、その人やさま。無骨。
野望,やぼう,分不相応な望み。また、身の程を知らない大それた野心。
山間,やまあい,１ 山と山との間。山峡(やまかい)。さんかん。２ 馬の頭で、両耳の間。
山姥,やまうば,１ 深山に住んでいるといわれる女の妖怪。山に住む鬼女。やまおんな。やまんば。２ 能面の一。「山姥」の後ジテが使う鬼女の面。やまうば。３ 謡曲。五番目物。世阿弥作とされる。山姥の曲舞(くせまい)の名人で百万(ひゃくま)山姥とよばれる遊女が、善光寺詣での途中、山で道に迷っていると、本物の山姥が現れ、曲舞を舞って山巡りのさまを見せる。やまうば。
山奥,やまおく,山の奥。山の奥深い所。
山勘,やまかん,勘でやまをはること。また、その勘。あてずっぽう。
山国,やまぐに,山の多い国や地方。また、四方を山に囲まれた土地。
山裾,やますそ,山のふもと。山麓(さんろく)。
山場,やまば,最も盛り上がった重要な場面。クライマックス。やま。
闇市,やみいち,闇取引の品物を売る店が集まっている所。第二次大戦直後、各地にできた。闇市場。
闇夜,やみよ,暗い夜。月のない夜。暗夜(あんや)。
稚児,ややこ,あかご。赤ん坊。やや。
揶揄,やゆ,からかうこと。なぶること。嘲弄(ちょうろう)。
夜来,やらい,昨夜来。また、数夜このかた。
槍玉,やりだま,槍を手玉のように自由自在に扱うこと。また、人を槍の穂で突き刺すこと。
野郎,やろう,１ 男性をののしりさげすんでいう語。２ 前髪をそり落とした若い男。３ 野郎歌舞伎の役者。
柔肌,やわはだ,やわらかな感触のはだ。特に女性のはだにいう。
矢板,やいた,１ 建築・土木の基礎工事で、土砂の崩壊や水の浸入を防ぐため、地盤に打ち込む板状の杭(くい)。木製・鋼製・鉄筋コンクリート製などがある。２ 栃木県中北部の市。中世は塩谷氏の城下町。電気機械工業・木工業や農業が行われる。
焼津,やいづ,静岡県中部の市。駿河湾西岸にあり、遠洋漁業、特にカツオ・マグロ漁の根拠地。日本武尊(やまとたけるのみこと)が東征の際、敵が放った野火を鎮め、逆に焼き滅ぼしたという伝説の地。平成20年（2008）に大井川町を編入。
灸箸,やいとばし,灸をすえるとき、もぐさを挟むはし。
灸花,やいとばな,ヘクソカズラの別名。花の中央部が赤く、灸の跡を思わせる。
灸日,やいとび,特に灸(きゅう)を据える日と定められた日。多くの地方で陰暦2月2日と8月2日とされる。灸据え日。二日灸。
夜営,やえい,夜、軍隊が陣営を設けること。また、その陣営。
夜宴,やえん,夜、催される宴会。夜の宴会。
野猿,やえん,野生の猿。「さる」が「去る」に通じるとして忌み、「やえん」という。
八尾,やお,大阪府中部の市。大阪市の東に隣接し、住宅地。軽工業も行われる。大信寺(だいしんじ)・久宝寺(きゅうほうじ)の寺内町として発展。
矢音,やおと,射た矢が風を切って飛んでいく音。
野音,やおん,屋外につくられた、音楽の演奏会場の略。特に「日比谷野外音楽堂」の通称。
夜蛾,やが,鱗翅(りんし)目ヤガ科の昆虫の総称。体は太く、翅(はね)は比較的小さく、一般にくすんだ色や模様をもち、翅を閉じると保護色となる。夜行性で灯火によく集まる。アケビコノハ・タマナヤガ・ヨトウガ・キシタバガなど、種類は非常に多い。
夜鶴,やかく,夜、巣の中で子をはぐくむツル。転じて、母性愛の深いことのたとえ。よるのつる。
野客,やかく,山野に住む人。また、仕官しない人。在野の人。
野鶴,やかく,野に遊ぶツル。仕官しないで俗世間にいる人のたとえ。
家数,やかず,家のかず。戸数。
矢数,やかず,１ 矢の数。２ 矢を射て、的に当たった数。３ 通し矢などのとき、矢の数を競うこと。特に江戸時代、陰暦4、5月ごろ、京都の三十三間堂で行われたものが有名。４ 俳諧形式の一。一昼夜または1日の間に独吟で句数の多さを競う俳諧興行。京都三十三間堂の通し矢の数を競うのに倣ったもの。初め大句数(おおくかず)と称した。
矢絣,やがすり,矢羽根の模様を表した絣柄。矢筈(やはず)絣。
矢風,やかぜ,矢が飛んでいくときに起こす風。
館城,やかたじろ,邸宅と城とを兼ねたもの。居城。
館者,やかたもの,武家屋敷に住む者。また、奉公する者。特に、江戸の遊里で、大名屋敷から通う江戸づめの侍をいう。
矢幹,やがら,１ 矢に矧(は)ぐ鳥の羽根。ワシ・タカ・キジなどの翼の羽と尾羽が用いられ、矢の飛行方向を保つためにつける。護田鳥尾(うすべお)・中黒・切り斑(ふ)など、斑文の名でよばれる。２ 1の形を表した模様。
矢柄,やがら,１ 矢の幹。鏃(やじり)と羽根を除いた部分。普通は篠竹(しのだけ)で作る。篦(の)。矢篦。２ （「簳魚」とも書く）ヨウジウオ目ヤガラ科の海水魚の総称。体は細長くて縦扁し、吻(ふん)も管状で長く、尾びれ中央の軟条が糸状に長く伸びている。体色が赤褐色のアカヤガラ、青みを帯びた黄褐色のアオヤガラが本州中部以南に分布し、ともに全長約1.5メートル。椀種(わんだね)などにする。３ 植物ミクリの別名。４ 古相撲の手の一。上手(うわて)で相手をつり上げて大きく振り回し、宙に浮いたところを左右得意の方へ投げ飛ばす。
薬鑵,やかん,１ 湯を沸かすための道具。アルマイト・銅・ほうろうなどで作った鉄瓶に似たもの。湯沸かし。２ はげて薬缶のようにつるつるになった頭。はげあたま。
八寸,やき,馬の、背たけが4尺8寸あるもの。大きくたくましい馬をいう。馬のたけは4尺を標準とし、それ以上は寸だけで数えた。
山羊,やぎ,偶蹄(ぐうてい)目ウシ科の哺乳類。家畜のものは、西アジア地方の岩山にすむノヤギを飼いならしたもの。ヒツジに似るが、首が長く、雌雄とも角をもつものが多く、雄はあごに長毛の房がある。一般に性質は温順で、群れをつくる。木の葉などを食べ、粗食でも飼える。乳・肉・毛を利用。
野羊,やぎ,偶蹄(ぐうてい)目ウシ科の哺乳類。家畜のものは、西アジア地方の岩山にすむノヤギを飼いならしたもの。ヒツジに似るが、首が長く、雌雄とも角をもつものが多く、雄はあごに長毛の房がある。一般に性質は温順で、群れをつくる。木の葉などを食べ、粗食でも飼える。乳・肉・毛を利用。
矢傷,やきず,矢が当たってできた傷。
矢疵,やきず,矢が当たってできた傷。
野球,やきゅう,米国で発達した球技の一。九人編成の二つのチームが各9回ずつ攻撃と守備を交替しながら得点を争うもの。攻撃側は守備側の投手の投げる球をバットで打ち、四つの塁を回って得点する。明治6年（1873）日本に伝えられた。明治28年発行の「一高野球部史」以降、訳語として定着したとされる。ベースボール。
野牛,やぎゅう,スイギュウ以外の野生のウシの総称。ガウアなどがあるが、特にバイソンをいう。
柳生,やぎゅう,奈良市北東部の地名。もと柳生氏1万石の陣屋が置かれた地。
夜業,やぎょう,夜間に仕事をすること。また、その仕事。よなべ。
夜曲,やきょく,１ 夕べに、恋人の窓下で歌い奏でられる音楽。オペラのアリアや演奏会用歌曲にも取り入れられた。２ 18世紀に発達した、娯楽的な性格の強い、多楽章の器楽合奏曲。夜曲。小夜曲。セレナード。セレナータ。
冶金,やきん,鉱石から金属を取り出し、精製する技術。広くは、取り出した金属を合金にしたり、加工したりする技術も含まれる。
野禽,やきん,野生の鳥。野鳥。
役印,やくいん,役向きに使用する印。職印。
役枝,やくえだ,生け花の花型で主要な役割をする枝。立花の七つ道具や生花の天地人の枝など。
薬園,やくえん,１ 薬草を栽培する畑。薬圃(やくほ)。２ 江戸時代、幕府・諸藩が直営した薬草園。
薬王,やくおう,薬の中で最もすぐれた薬。
役男,やくおとこ,１ その年の干支(えと)に当たる男性。節分の豆まき役となる。２ 一家を代表して正月の行事を取りしきる役目の男性。若水をくんだり、年神の供物をととのえたりする。普通はその家の主人があたる。せちおとこ。わかおとこ。
約音,やくおん,連続する2音節が、1音節に縮約する現象。「あらいそ（荒磯）」が「ありそ」となるように、前の音節の母音が脱落するもの、「おほまします」が「おはします」となるように、前の音節の母音と後の音節の子音とが脱落するものなどがある。約言。
訳解,やくかい,外国語で書かれたものや古文を翻訳し、解釈を加えること。翻訳と解釈。
役儀,やくぎ,１ つとめ。任務。役目。２ 課税。租税。課役。
訳義,やくぎ,意義を解き明かすこと。また、その意義。解釈。釈義。
訳業,やくぎょう,翻訳の仕事。また、その業績。
役供,やくぐ,神への供物を陪膳(はいぜん)の役に取り次ぐこと。また、その役。
益供,やくぐ,神への供物を陪膳(はいぜん)の役に取り次ぐこと。また、その役。
約言,やくげん,１ 要約して言うこと。また、その言葉。２ 約束した言葉。３ 連続する2音節が、1音節に縮約する現象。「あらいそ（荒磯）」が「ありそ」となるように、前の音節の母音が脱落するもの、「おほまします」が「おはします」となるように、前の音節の母音と後の音節の子音とが脱落するものなどがある。約言。
厄子,やくご,両親のいずれかが厄年に当たるときに生まれた子。育ちにくいとされ、厄落としのために捨てて拾いなおすなどの風習がある。
薬匙,やくさじ,粉末状の薬品を容器から移し替えたり、盛り分けたりするための匙。一方の柄が平らなへら状になっているものが多く、スパチュラまたはスパーテルともいう。やくじ。
薬師,やくし,東方浄瑠璃(じょうるり)世界の教主。12の大願を立てて、人々の病患を救うとともに悟りに導くことを誓った仏。古来、医薬の仏として信仰される。像は通例、右手に施無畏印(せむいいん)を結び、左手に薬壺(やっこ)を持つ。脇侍(きょうじ)に日光菩薩と月光菩薩、眷属(けんぞく)として十二神将が配される。薬師瑠璃光如来。薬師仏。
訳詞,やくし,歌詞を翻訳すること。また、その訳した歌詞。
訳詩,やくし,詩を翻訳すること。また、その訳した詩。
薬種,やくしゅ,薬の材料。薬材。
訳出,やくしゅつ,翻訳すること。訳し出すこと。
訳述,やくじゅつ,翻訳した内容を述べること。また、翻訳による著述。
訳書,やくしょ,他国語に翻訳した書物。訳本。
薬疹,やくしん,薬物を投与したことが原因となって生じる発疹(ほっしん)。薬物に対してアレルギーや中毒を起こしたことによる。
厄神,やくじん,病気や災難をもたらす悪神。
約数,やくすう,ある整数に対して、その数を割り切ることのできる整数。
薬箋,やくせん,処方箋(しょほうせん)のこと。
薬膳,やくぜん,漢方薬の材料を使った中国料理。健康保持のための食事として、中国の医食同源（薬食同源）の考えから生まれたもの。
役僧,やくそう,寺院の事務を扱う僧。
薬袋,やくたい,１ 薬を入れる袋。薬嚢(やくのう)。２ 鉄砲の火薬を入れて携行する小さな瓶。
薬代,やくだい,薬の代金。また、治療の費用。くすりだい。
役宅,やくたく,特定の役目に当たる人が住むために設けてある住宅。官舎。
訳註,やくちゅう,１ 文書を矢柄(やがら)に結びつけたり、蟇目(ひきめ)の穴に入れたりして、射て飛ばすもの。２ 矢の催促のふみ。次々と送ってくる手紙。
厄塚,やくづか,厄神を封じこめるために設ける臨時の塚。京都の吉田神社のものが名高く、節分の夜に火祭りをして、最後に土器(かわらけ)を群衆が奪い合って厄よけに持ち帰る。
厄月,やくづき,陰陽家(おんようけ)で、厄難を避けるために、諸事に忌み慎まなければならないとする月。
約手,やくて,振出人が、受取人またはその指図人もしくは手形所持人に対し、一定の期日に一定の金額を支払うことを約束する手形。
薬毒,やくどく,薬に含まれている毒。
訳読,やくどく,外国語の文章や古典を翻訳・解釈しながら読むこと。
厄難,やくなん,身にふりかかるわざわい。災難。
役人,やくにん,１ 国や地方自治体の機関に勤めている人。官公吏。公務員。２ 役目を受け持っている人。３ 役者。俳優。
薬嚢,やくのう,１ 薬を入れる袋。薬嚢(やくのう)。２ 大砲1発分の火薬を入れる袋。
役日,やくび,節日・祝日などの特別な日。物日(ものび)。
訳筆,やくひつ,翻訳の文章。訳文。
疫病,やくびょう,悪性の伝染病。えやみ。えきびょう。
約分,やくぶん,分数・分数式の分母と分子を公約数で割り、簡単な分数・分数式にすること。通約。
約文,やくぶん,長い文章をつづめて簡単にすること。また、その文章。
薬舗,やくほ,くすりや。薬店。薬局。
薬鋪,やくほ,くすりや。薬店。薬局。
薬圃,やくほ,薬草を栽培する畑。薬園。
訳補,やくほ,原文に不足な部分を補って翻訳すること。
薬包,やくほう,１ 薬の包み。粉薬を紙に包んだもの。２ 火砲に使用する発射用火薬を適当量に分けて包んだもの。薬嚢(やくのう)に分けて包んだ爆薬。
薬方,やくほう,薬の処方。調剤の方法。
厄前,やくまえ,厄年の前の年。前厄。
厄水,やくみず,赤潮の一。珪藻(けいそう)の異常増殖により、沿岸海域が緑褐色に濁るもの。晩冬から初春にかけ、三陸沖の親潮で発生。悪臭があり、魚が寄りつかず、漁業の妨げとなる。
薬名,やくめい,薬品の名称。
訳名,やくめい,外国語から翻訳してつけた名称。
谷倉,やぐら,１ 谷間の斜面の岩壁に穴をあけて物を貯蔵する所としたもの。いわむろ。２ 鎌倉・室町時代、山腹につくった横穴式の墓。神奈川県鎌倉市付近に多くみられる。塚穴(つかあな)。
矢倉,やぐら,１ 武器を入れておく倉庫。矢の倉。兵庫。２ 城門や城壁の上につくった一段高い建物。敵状の偵察や射撃のための高楼。３ 木材や鉄骨などを用いて組み立てた高い構築物。４ 祭礼・盆踊りなどで、一段高くつくって太鼓や笛を演奏したり、歌をうたったりする構造物。５ 歌舞伎・人形浄瑠璃などの劇場で、官許の標識として正面入り口の上に造られた構造物。三方に幕を張り、5本の毛槍を横たえ、梵天(ぼんてん)を立てる。６ 相撲場で、太鼓を打つための高い場所。７ 炬燵(こたつ)の、布団を掛けるための四角い枠。炬燵櫓。８ 戦国時代から近世の軍船に敷設された展望台。大船は船首・中央・船尾の3か所に設けた。安宅船(あたけぶね)や関船などの大型軍船は総櫓といい、船首から船尾まで通す独特の形式に発達した。また、荷船で船体後半に設ける屋形のこと。９ 相撲の手の一。四つに組んだ体勢からさらに踏み込み、相手の内股(うちまた)を自分の片股(かたもも)にのせてはね上げ、つりぎみに振り回して投げる。上手をひいた側の足で投げるのが上手櫓。差し手の側の足で投げれば下手櫓。
櫓葱,やぐらねぎ,ネギの変種。晩春、茎を数十センチ伸ばして花を球状につけ、この花の幾つかが鱗茎(りんけい)に変わって子ネギとなって伸び、その上に孫ネギができる。地上に倒れると根を出して増える。北陸・東北地方で栽培。さんがいねぎ。
櫓船,やぐらぶね,船上に櫓を設けた和船。戦国時代の軍船などにみられる。
櫓幕,やぐらまく,１ 櫓に張りめぐらす幕。２ 江戸時代、劇場などの櫓の三方に張り渡した幕。正面に興行主の定紋が染め抜いてある。
櫓物,やぐらもの,瓦の一。主として渡り櫓などに用いる大形のもの。
櫓門,やぐらもん,１ 上階に櫓をのせた門。２ 城の渡り櫓の下にある門。渡り櫓門。
役料,やくりょう,１ 役目に対する報酬。２ 江戸幕府が、役付きの者へ、その役職に対する手当てとして支給した給与。
薬料,やくりょう,１ 薬の代金。２ 薬の材料。
薬量,やくりょう,薬の分量。
訳了,やくりょう,原典を訳しおわること。
矢車,やぐるま,１ 軸の周囲に矢羽根を放射状に取り付け、風を受けて回るようにしたもの。端午の節句の幟竿(のぼりざお)の先につけたりする。２ 紋所の名。1を図案化したもの。３ ユキノシタ科の多年草。深山に生え、高さ約1メートル。茎は直立し、葉は大きく、3～5枚の小葉からなる手のひら状の複葉で、矢車に似る。夏、白い小花を円錐状につける。４ 矢をさしておく台。
薬礼,やくれい,治療や投薬に対して、医師に払う代金。くすりだい。
薬籠,やくろう,１ 薬箱。薬入れ。また、腰にさげる小さい薬箱。印籠(いんろう)に似た三重や四重の重ね箱もある。やろう。２ 高野聖(こうやひじり)が背負う衣類・薬品などを入れる重ね箱。
約論,やくろん,短くつづめて要点だけを論じること。また、その論。
野景,やけい,山野などのけしき。野外の風景。
野鶏,やけい,１ キジの別名。２ キジ科ヤケイ属の鳥の総称。インドから東南アジアにかけて分布。セキショクヤケイ・ハイイロヤケイ・セイロンヤケイ・アオエリヤケイの4種があり、セキショクヤケイが鶏の原種に最も近いといわれる。鶏よりやや小形で、林にすみ、少し飛ぶことができる。
焼岳,やけだけ,長野・岐阜県境にある、飛騨山脈南部の活火山。標高2455メートル。上高地の西にそびえ、大正4年（1915）の爆発による泥流が梓(あずさ)川をせき止めて大正池を形成した。
焼山,やけやま,新潟県南西部にある活火山。妙高火山群の一峰。標高2400メートル。頂部に硫気孔群、山腹に爆裂火口などがある。
野犬,やけん,飼い主のない犬。のら犬。のいぬ。→野良犬［補説］
薬研,やげん,１ 漢方医などが生薬を粉末にするのに用いる金属製の器具。細長い舟形で、中央がV字形にくぼんでいるもの。中に生薬を入れ、円板形の車に通した軸を両手でつかみ、前後に回転させて押し砕く。くすりおろし。２ 鶏の胸骨の先端部分。焼き鳥やから揚げなどにする。
野狐,やこ,山野にすむキツネ。のぎつね。
屋号,やごう,１ 家屋敷の各戸につける姓以外の通称。先祖名、職業名、家の本家・分家関係などによって呼び分けた。家名(いえな)。門名(かどな)。２ 商店の商業上の名。生国や姓の下に「屋」をつけたものが多い。「越後屋」「三好屋」など。３ 歌舞伎俳優などの家の称号。「音羽屋」「成田屋」「成駒屋」など。
野合,やごう,１ 正式の手続きによらず、夫婦になること。２ 共通するものもないばらばらの集団が、まとまりなく集まること。
矢声,やごえ,矢を射当てたとき、射手が声をあげること。また、その叫び声。やごたえ。やごえ。
矢頃,やごろ,矢を射るのにちょうどよい距離。矢丈(やだけ)。また転じて、物事を行うのにちょうどよい時機。ころあい。
矢比,やごろ,矢を射るのにちょうどよい距離。矢丈(やだけ)。また転じて、物事を行うのにちょうどよい時機。ころあい。
